id,name
supplies,Provisions
fuel,Carburant
crew,Equipage
marines,Marines
food,Nourriture
organics,Matières organiques
volatiles,Volatiles
ore,Minerai
rare_ore,Minerai Transplutonic
metals,Métaux
rare_metals,Transplutonics
heavy_machinery,Machinerie Lourde
domestic_goods,Biens Domestiques
organs,Organes prélevés
drugs,Drogues récréatives
hand_weapons,Armes lourdes
luxury_goods,Biens de luxe
lobster,Homard Volturnien
ships,Coque & Armes
ai_cores,IA Cores
alpha_core,Alpha Core
beta_core,Beta Core
gamma_core,Gamma Core
omega_core,Omega Core
survey_data,Donnée Etudié
survey_data_1,Donnée Etudié de Classe I
survey_data_2,Donnée Etudié de Classe II
survey_data_3,Donnée Etudié de Classe III
survey_data_4,Donnée Etudié de Classe IV
survey_data_5,Donnée Etudié de Classe V
blueprints,Plans
ship_weapons,Equipement de Vaissaux
credits,Credits
